# This file is generated on 25-Nov-2021 at 17:01:14 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.0057e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0574e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.1676e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.4442e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.4136e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.7340e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.2569e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.9073e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.6435e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.4406e-01
