# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 3.9770e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 3.6788e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 3.3685e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 3.0853e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 2.8062e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 2.5501e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 2.3273e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.1003e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.8700e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.6791e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.4419e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 1.2125e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 9.9728e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 7.9686e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 6.4208e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 4.4407e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.4020e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.0747e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e+01, 1.9015e-04
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, -8.6184e-03
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.0000e+01, -1.6202e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, -2.2878e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, -2.8852e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9990e+01, -3.4260e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 3.7201e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 3.4412e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 3.1509e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 2.8860e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 2.6250e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 2.3854e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 2.1770e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 1.9647e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.7492e-01
