# This file is generated on 25-Nov-2021 at 17:05:18 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.5446e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.2282e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.6849e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2020e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.1614e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4686e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0134e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.5737e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.2022e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5323e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.7484e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.2539e-01, 5.0000e+01
1, 1, 3.7500e+01, 1.9120e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.6608e-01, 7.0000e+01
1, 1, 3.7500e+01, 1.4682e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.3157e-01, 9.0000e+01
1, 1, 3.7500e+01, 1.1919e-01, 9.9990e+01
1, 1, 3.7500e+01, 4.2555e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.6104e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.9555e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.3889e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8747e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4532e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1328e+01, 2.1000e-01
