# This file is generated on 25-Nov-2021 at 17:05:18 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 6.3253e+01, 1.0000e-02
1, 1, 3.7500e+01, 5.6791e+01, 1.6000e-02
1, 1, 3.7500e+01, 5.0230e+01, 2.7000e-02
1, 1, 3.7500e+01, 4.4552e+01, 4.5000e-02
1, 1, 3.7500e+01, 3.9397e+01, 7.7000e-02
1, 1, 3.7500e+01, 3.4437e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.9871e+01, 2.1000e-01
1, 1, 3.7500e+01, 2.5511e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.1469e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8369e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.5092e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.2386e+01, 3.0000e+00
1, 1, 3.7500e+01, 9.9627e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.0104e+00, 8.3000e+00
1, 1, 3.7500e+01, 6.7225e+00, 1.2000e+01
1, 1, 3.7500e+01, 5.3293e+00, 1.9000e+01
1, 1, 3.7500e+01, 4.3494e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.0536e+00, 4.0000e+01
1, 1, 3.7500e+01, 3.8534e+00, 5.0000e+01
1, 1, 3.7500e+01, 3.8451e+00, 6.0000e+01
1, 1, 3.7500e+01, 3.9062e+00, 7.0000e+01
1, 1, 3.7500e+01, 3.9829e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.0601e+00, 9.0000e+01
1, 1, 3.7500e+01, 4.1336e+00, 9.9990e+01
1, 1, 3.7500e+01, 6.3253e+01, 1.0000e-02
1, 1, 3.7500e+01, 5.6791e+01, 1.6000e-02
1, 1, 3.7500e+01, 5.0230e+01, 2.7000e-02
1, 1, 3.7500e+01, 4.4552e+01, 4.5000e-02
1, 1, 3.7500e+01, 3.9397e+01, 7.7000e-02
1, 1, 3.7500e+01, 3.4437e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.9871e+01, 2.1000e-01
1, 1, 3.7500e+01, 2.5511e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.1469e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8369e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.5092e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.2386e+01, 3.0000e+00
1, 1, 3.7500e+01, 9.9627e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.0104e+00, 8.3000e+00
1, 1, 3.7500e+01, 6.7225e+00, 1.2000e+01
1, 1, 3.7500e+01, 5.3293e+00, 1.9000e+01
1, 1, 3.7500e+01, 4.3494e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.0536e+00, 4.0000e+01
1, 1, 3.7500e+01, 3.8534e+00, 5.0000e+01
1, 1, 3.7500e+01, 3.8451e+00, 6.0000e+01
1, 1, 3.7500e+01, 3.9062e+00, 7.0000e+01
1, 1, 3.7500e+01, 3.9829e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.0601e+00, 9.0000e+01
1, 1, 3.7500e+01, 4.1336e+00, 9.9990e+01
1, 1, 3.7500e+01, 6.3253e+01, 1.0000e-02
1, 1, 3.7500e+01, 5.6791e+01, 1.6000e-02
1, 1, 3.7500e+01, 5.0230e+01, 2.7000e-02
1, 1, 3.7500e+01, 4.4552e+01, 4.5000e-02
1, 1, 3.7500e+01, 3.9397e+01, 7.7000e-02
1, 1, 3.7500e+01, 3.4437e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.9871e+01, 2.1000e-01
1, 1, 3.7500e+01, 2.5511e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.1469e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.8369e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.5092e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.2386e+01, 3.0000e+00
1, 1, 3.7500e+01, 9.9627e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.0104e+00, 8.3000e+00
