# This file is generated on 25-Nov-2021 at 17:01:14 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 8.1564e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 7.5448e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 6.9084e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 6.3277e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 5.7552e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 5.2299e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 4.7731e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.3076e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.8351e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.4436e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.9572e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.4867e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.0453e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.6343e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.3168e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 9.1075e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 4.9262e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 2.2040e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 3.8998e-03
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -1.7675e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, -3.3229e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -4.6921e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -5.9172e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, -7.0264e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 3.5665e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.2991e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.0208e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 2.7669e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 2.5166e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 2.2869e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 2.0871e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 1.8836e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.6770e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.5058e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.2931e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.0874e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 8.9436e-01
