# This file is generated on 25-Nov-2021 at 17:01:14 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 1.5688e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.3949e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2111e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0459e+02, 4.5000e-02
1, 1, 3.7500e+01, 8.9015e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.5109e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.3464e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.2677e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.3045e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6023e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.8448e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2441e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7542e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.3742e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1160e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.2129e+00, 1.9000e+01
1, 1, 3.7500e+01, 5.8841e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.9873e+00, 4.0000e+01
1, 1, 3.7500e+01, 4.3502e+00, 5.0000e+01
1, 1, 3.7500e+01, 4.1433e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.0756e+00, 7.0000e+01
1, 1, 3.7500e+01, 4.0593e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.0773e+00, 9.0000e+01
1, 1, 3.7500e+01, 4.1164e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.5688e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.3949e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2111e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0459e+02, 4.5000e-02
1, 1, 3.7500e+01, 8.9015e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.5109e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.3464e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.2677e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.3045e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6023e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.8448e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2441e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7542e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.3742e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1160e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.2129e+00, 1.9000e+01
1, 1, 3.7500e+01, 5.8841e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.9873e+00, 4.0000e+01
1, 1, 3.7500e+01, 4.3502e+00, 5.0000e+01
1, 1, 3.7500e+01, 4.1433e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.0756e+00, 7.0000e+01
1, 1, 3.7500e+01, 4.0593e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.0773e+00, 9.0000e+01
1, 1, 3.7500e+01, 4.1164e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.5688e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.3949e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2111e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0459e+02, 4.5000e-02
1, 1, 3.7500e+01, 8.9015e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.5109e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.3464e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.2677e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.3045e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6023e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.8448e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2441e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7542e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.3742e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1160e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.2129e+00, 1.9000e+01
1, 1, 3.7500e+01, 5.8841e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.9873e+00, 4.0000e+01
1, 1, 3.7500e+01, 4.3502e+00, 5.0000e+01
1, 1, 3.7500e+01, 4.1433e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.0756e+00, 7.0000e+01
1, 1, 3.7500e+01, 4.0593e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.0773e+00, 9.0000e+01
1, 1, 3.7500e+01, 4.1164e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.5688e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.3949e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2111e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0459e+02, 4.5000e-02
1, 1, 3.7500e+01, 8.9015e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.5109e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.3464e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.2677e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.3045e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6023e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.8448e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2441e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7542e+01, 5.1000e+00
