# This file is generated on 25-Nov-2021 at 17:01:14 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.1894e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0892e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.1013e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.1079e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.5168e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1280e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.8554e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.6559e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.5054e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.3897e-01
