# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.0206e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 8.4017e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 6.6503e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 5.2018e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.9437e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.9559e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.2343e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.6309e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.1483e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 8.3860e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 5.5212e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.5934e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.3598e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.5782e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.1519e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.6816e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 5.0649e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.8688e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.1275e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.6222e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.2553e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.9767e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.7580e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9990e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.5819e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 9.8094e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 8.0681e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 6.3803e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.9860e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.7765e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.8279e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.1357e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.5575e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.0956e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.9945e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 5.2580e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.4186e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.2429e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.4987e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.0931e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.2840e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.7988e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.6637e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.9605e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.4813e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.1336e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.8696e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.0000e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.6624e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.9990e+01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 1.4956e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 9.4996e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 7.8080e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 6.1699e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 4.8180e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 3.6464e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 1.4181e+00, 1.3541e+01, 3.8160e-01, 8.7222e-01, 2.7285e+00
