# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 1.2405e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.0600e+01, 1.6000e-02
1, 1, 3.7500e+01, 8.8488e+00, 2.7000e-02
1, 1, 3.7500e+01, 7.4004e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.1424e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.0764e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.2106e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.4402e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7748e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.3000e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.8237e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.4549e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1483e+00, 5.1000e+00
1, 1, 3.7500e+01, 9.1183e-01, 8.3000e+00
1, 1, 3.7500e+01, 7.6025e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.0003e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.8984e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.5886e-01, 4.0000e+01
1, 1, 3.7500e+01, 4.3747e-01, 5.0000e+01
1, 1, 3.7500e+01, 4.3250e-01, 6.0000e+01
1, 1, 3.7500e+01, 4.3266e-01, 7.0000e+01
1, 1, 3.7500e+01, 4.3513e-01, 8.0000e+01
1, 1, 3.7500e+01, 4.3868e-01, 9.0000e+01
1, 1, 3.7500e+01, 4.4263e-01, 9.9990e+01
1, 1, 3.7500e+01, 1.2405e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.0600e+01, 1.6000e-02
