# This file is generated on 25-Nov-2021 at 17:05:18 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2024e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0640e+00, 1.9000e+01
1, 1, 3.7500e+01, 2.8978e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.3350e-01, 4.0000e+01
1, 1, 3.7500e+01, 1.2281e-02, 5.0000e+01
1, 1, 3.7500e+01, 4.4421e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.6795e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.6795e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.6795e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.6795e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.6795e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.6060e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.4702e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.3132e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.1412e+01, 6.0000e-01
1, 1, 3.7500e+01, 9.8599e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.0767e+00, 1.7000e+00
1, 1, 3.7500e+01, 6.4252e+00, 3.0000e+00
1, 1, 3.7500e+01, 4.7065e+00, 5.1000e+00
1, 1, 3.7500e+01, 3.2220e+00, 8.3000e+00
