# This file is generated on 12-Dec-2021 at 19:53:16 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Graz (Lat = 4.7090e+01 deg, Lon = 1.5460e+01 deg, Alt = 4.6800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 7.5000e+01, 8.3058e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6831e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.0350e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4436e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8607e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.3257e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8605e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3865e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.9054e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.5067e-01, 9.5000e-01
1, 1, 7.5000e+01, 3.0114e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5322e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0828e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6642e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3410e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2744e-02, 1.9000e+01
1, 1, 7.5000e+01, 5.0165e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2444e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9713e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7999e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3838e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7780e-02, 8.0000e+01
1, 1, 7.5000e+01, -6.0256e-02, 9.0000e+01
1, 1, 7.5000e+01, -7.1551e-02, 9.9990e+01
1, 1, 7.5000e+01, 8.3058e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6831e-01, 1.6000e-02
1, 1, 7.5000e+01, 7.0350e-01, 2.7000e-02
