# This file is generated on 12-Dec-2021 at 19:53:16 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Graz (Lat = 4.7090e+01 deg, Lon = 1.5460e+01 deg, Alt = 4.6800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 7.5000e+01, 8.9976e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.8478e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6538e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.5976e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.6184e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.7771e+01, 1.3000e-01
1, 1, 7.5000e+01, 3.1017e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.4926e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.9642e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.5923e+01, 9.5000e-01
1, 1, 7.5000e+01, 1.2081e+01, 1.7000e+00
1, 1, 7.5000e+01, 9.1643e+00, 3.0000e+00
1, 1, 7.5000e+01, 6.9322e+00, 5.1000e+00
1, 1, 7.5000e+01, 5.2821e+00, 8.3000e+00
1, 1, 7.5000e+01, 4.2128e+00, 1.2000e+01
1, 1, 7.5000e+01, 3.0454e+00, 1.9000e+01
1, 1, 7.5000e+01, 2.1486e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.7954e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.5477e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.4438e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.3838e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.3385e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.3034e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2759e+00, 9.9990e+01
1, 1, 7.5000e+01, 8.9976e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.8478e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6538e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.5976e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.6184e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.7771e+01, 1.3000e-01
1, 1, 7.5000e+01, 3.1017e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.4926e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.9642e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.5923e+01, 9.5000e-01
1, 1, 7.5000e+01, 1.2081e+01, 1.7000e+00
1, 1, 7.5000e+01, 9.1643e+00, 3.0000e+00
1, 1, 7.5000e+01, 6.9322e+00, 5.1000e+00
1, 1, 7.5000e+01, 5.2821e+00, 8.3000e+00
1, 1, 7.5000e+01, 4.2128e+00, 1.2000e+01
1, 1, 7.5000e+01, 3.0454e+00, 1.9000e+01
1, 1, 7.5000e+01, 2.1486e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.7954e+00, 4.0000e+01
1, 1, 7.5000e+01, 1.5477e+00, 5.0000e+01
1, 1, 7.5000e+01, 1.4438e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.3838e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.3385e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.3034e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.2759e+00, 9.9990e+01
1, 1, 7.5000e+01, 8.9976e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.8478e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6538e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.5976e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.6184e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.7771e+01, 1.3000e-01
1, 1, 7.5000e+01, 3.1017e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.4926e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.9642e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.5923e+01, 9.5000e-01
1, 1, 7.5000e+01, 1.2081e+01, 1.7000e+00
1, 1, 7.5000e+01, 9.1643e+00, 3.0000e+00
1, 1, 7.5000e+01, 6.9322e+00, 5.1000e+00
1, 1, 7.5000e+01, 5.2821e+00, 8.3000e+00
