# This file is generated on 12-Dec-2021 at 19:43:05 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 2.3351e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.0538e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.7500e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.4710e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2028e+02, 7.7000e-02
1, 1, 7.5000e+01, 9.7058e+01, 1.3000e-01
1, 1, 7.5000e+01, 7.8491e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.1567e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.6768e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.6440e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.6041e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.8360e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.2993e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.3065e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.1543e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.0902e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.5793e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.8471e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.3750e+00, 5.0000e+01
1, 1, 7.5000e+01, 2.0431e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7958e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.6039e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4503e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.3245e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.3351e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.0538e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.7500e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.4710e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2028e+02, 7.7000e-02
1, 1, 7.5000e+01, 9.7058e+01, 1.3000e-01
1, 1, 7.5000e+01, 7.8491e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.1567e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.6768e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.6440e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.6041e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.8360e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.2993e+01, 5.1000e+00
1, 1, 7.5000e+01, 9.3065e+00, 8.3000e+00
1, 1, 7.5000e+01, 7.1543e+00, 1.2000e+01
1, 1, 7.5000e+01, 5.0902e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.5793e+00, 3.0000e+01
1, 1, 7.5000e+01, 2.8471e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.3750e+00, 5.0000e+01
1, 1, 7.5000e+01, 2.0431e+00, 6.0000e+01
1, 1, 7.5000e+01, 1.7958e+00, 7.0000e+01
1, 1, 7.5000e+01, 1.6039e+00, 8.0000e+01
1, 1, 7.5000e+01, 1.4503e+00, 9.0000e+01
1, 1, 7.5000e+01, 1.3245e+00, 9.9990e+01
1, 1, 7.5000e+01, 2.3351e+02, 1.0000e-02
1, 1, 7.5000e+01, 2.0538e+02, 1.6000e-02
1, 1, 7.5000e+01, 1.7500e+02, 2.7000e-02
1, 1, 7.5000e+01, 1.4710e+02, 4.5000e-02
1, 1, 7.5000e+01, 1.2028e+02, 7.7000e-02
1, 1, 7.5000e+01, 9.7058e+01, 1.3000e-01
1, 1, 7.5000e+01, 7.8491e+01, 2.1000e-01
1, 1, 7.5000e+01, 6.1567e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.6768e+01, 6.0000e-01
1, 1, 7.5000e+01, 3.6440e+01, 9.5000e-01
1, 1, 7.5000e+01, 2.6041e+01, 1.7000e+00
1, 1, 7.5000e+01, 1.8360e+01, 3.0000e+00
1, 1, 7.5000e+01, 1.2993e+01, 5.1000e+00
