# This file is generated on 12-Dec-2021 at 19:43:05 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 3.0552e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 2.7737e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 2.4698e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 2.1906e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.9224e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.6696e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.4461e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 1.2325e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 1.0356e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 8.8645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 7.1844e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 5.7991e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 4.6063e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 3.6484e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.9766e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 2.1879e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 1.5598e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 1.3273e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 1.1575e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 1.1057e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 1.0859e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 1.0747e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 1.0695e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 1.0688e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 1.9972e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 1.7894e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 1.5681e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 1.3676e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 1.1773e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 1.0042e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 8.5647e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 7.1804e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 5.9299e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 5.0054e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 3.9920e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 3.1767e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 2.4978e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.9642e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 1.5974e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 1.1741e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 8.3984e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 7.1449e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 6.2374e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 5.9342e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 5.7967e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 5.7040e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 5.6437e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 5.6074e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 1.5758e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 1.4015e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.2172e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.0514e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 8.9521e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 7.5555e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 6.3847e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 5.2995e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 4.3299e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 3.6226e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 2.8590e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 2.2534e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 1.7590e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 1.3755e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 1.1152e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 8.1811e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 5.8472e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 4.9644e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 4.3291e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 4.1061e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, 3.9977e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 3.9211e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, 3.8673e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, 3.8306e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.3460e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.1911e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.0281e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 8.8226e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 7.4546e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 6.2448e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 5.2424e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 4.3199e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 3.5019e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 2.9105e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 2.2788e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 1.7828e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 1.3836e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 1.0771e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 8.7098e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 6.3775e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 4.5527e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.8576e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 3.3598e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 3.1787e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 3.0868e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 3.0203e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, 2.9720e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 2.9373e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.2024e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.0601e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 9.1088e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 7.7779e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 6.5338e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 5.4422e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 4.5453e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 3.7241e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 3.0001e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 2.4801e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 1.9292e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 1.5000e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 1.1585e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 8.9841e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 7.2480e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 5.2981e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 3.7777e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 3.1950e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 2.7793e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 2.6237e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, 2.5422e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 2.4824e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.0000e+01, 2.4381e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, 2.4053e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.1063e+02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 9.7246e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 8.3266e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 7.0824e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 5.9222e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 4.9101e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 4.0838e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 3.3304e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 2.6690e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 2.1965e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 1.6991e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 1.3140e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 1.0106e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 7.8096e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 6.2876e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 4.5889e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 3.2685e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.0000e+01, 2.7595e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e+01, 2.3978e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 2.2588e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.0000e+01, 2.1842e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 2.1290e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, 2.0876e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.9990e+01, 2.0563e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.0396e+02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 9.1179e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 7.7850e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 6.6010e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 5.4989e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 4.5419e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 3.7644e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 3.0579e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 2.4396e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 1.9999e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 1.5394e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 1.1849e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 9.0776e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 6.9933e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 5.6198e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 4.0958e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 2.9143e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 2.4564e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.0000e+01, 2.1321e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 2.0046e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.0000e+01, 1.9347e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 1.8827e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, 1.8432e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.9990e+01, 1.8129e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 9.9299e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 8.6935e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 7.4058e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 6.2633e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 5.2013e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 4.2823e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 3.5389e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 2.8649e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 2.2768e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 1.8599e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 1.4255e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 1.0924e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 8.3400e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 6.4064e+00
