# This file is generated on 12-Dec-2021 at 19:48:52 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2564e+00, 5.0941e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.2564e+00, 5.0941e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.2564e+00, 5.0941e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.2564e+00, 5.0941e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.2564e+00, 5.0941e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.2014e+00, 4.8711e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.0999e+00, 4.4595e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 9.8240e-01, 3.9831e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 8.5375e-01, 3.4615e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 7.3762e-01, 2.9906e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 6.0422e-01, 2.4498e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.8067e-01, 1.9489e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.5209e-01, 1.4275e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.4104e-01, 9.7728e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.6476e-01, 6.6802e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 7.9595e-02, 3.2272e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 2.1678e-02, 8.7893e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 9.9870e-03, 4.0492e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 9.1874e-04, 3.7250e-02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 3.3231e-06, 1.3473e-04
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 1.2564e+00, 2.5568e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 1.2564e+00, 2.5568e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 1.2564e+00, 2.5568e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 1.2564e+00, 2.5568e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 1.2564e+00, 2.5568e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 1.2014e+00, 2.4448e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 1.0999e+00, 2.2382e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 9.8240e-01, 1.9992e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 8.5375e-01, 1.7373e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 7.3762e-01, 1.5010e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 6.0422e-01, 1.2296e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 4.8067e-01, 9.7815e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 3.5209e-01, 7.1650e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 2.4104e-01, 4.9051e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 1.6476e-01, 3.3528e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 7.9595e-02, 1.6197e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 2.1678e-02, 4.4114e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 9.9870e-03, 2.0323e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 9.1874e-04, 1.8696e-02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 3.3231e-06, 6.7625e-05
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 1.2564e+00, 1.7154e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 1.2564e+00, 1.7154e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.2564e+00, 1.7154e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.2564e+00, 1.7154e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.2564e+00, 1.7154e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.2014e+00, 1.6403e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.0999e+00, 1.5017e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 9.8240e-01, 1.3413e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 8.5375e-01, 1.1656e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 7.3762e-01, 1.0071e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 6.0422e-01, 8.2494e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 4.8067e-01, 6.5626e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 3.5209e-01, 4.8071e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 2.4104e-01, 3.2909e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 1.6476e-01, 2.2495e+00
