# This file is generated on 12-Dec-2021 at 19:48:52 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 7.5000e+01, 8.7667e+00, 1.0000e-02
1, 1, 7.5000e+01, 8.1094e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.4254e+00, 2.7000e-02
1, 1, 7.5000e+01, 6.8012e+00, 4.5000e-02
1, 1, 7.5000e+01, 6.1859e+00, 7.7000e-02
1, 1, 7.5000e+01, 5.6213e+00, 1.3000e-01
1, 1, 7.5000e+01, 5.1303e+00, 2.1000e-01
1, 1, 7.5000e+01, 4.6299e+00, 3.5000e-01
1, 1, 7.5000e+01, 4.1221e+00, 6.0000e-01
1, 1, 7.5000e+01, 3.7013e+00, 9.5000e-01
1, 1, 7.5000e+01, 3.1785e+00, 1.7000e+00
1, 1, 7.5000e+01, 2.6728e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.1984e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7566e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.4154e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.7890e-01, 1.9000e+01
1, 1, 7.5000e+01, 5.2949e-01, 3.0000e+01
1, 1, 7.5000e+01, 2.3689e-01, 4.0000e+01
1, 1, 7.5000e+01, 4.1916e-03, 5.0000e+01
1, 1, 7.5000e+01, -1.8998e-01, 6.0000e+01
1, 1, 7.5000e+01, -3.5716e-01, 7.0000e+01
1, 1, 7.5000e+01, -5.0432e-01, 8.0000e+01
1, 1, 7.5000e+01, -6.3600e-01, 9.0000e+01
1, 1, 7.5000e+01, -7.5522e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.7667e+00, 1.0000e-02
1, 1, 7.5000e+01, 8.1094e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.4254e+00, 2.7000e-02
1, 1, 7.5000e+01, 6.8012e+00, 4.5000e-02
1, 1, 7.5000e+01, 6.1859e+00, 7.7000e-02
1, 1, 7.5000e+01, 5.6213e+00, 1.3000e-01
1, 1, 7.5000e+01, 5.1303e+00, 2.1000e-01
1, 1, 7.5000e+01, 4.6299e+00, 3.5000e-01
1, 1, 7.5000e+01, 4.1221e+00, 6.0000e-01
1, 1, 7.5000e+01, 3.7013e+00, 9.5000e-01
1, 1, 7.5000e+01, 3.1785e+00, 1.7000e+00
1, 1, 7.5000e+01, 2.6728e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.1984e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7566e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.4154e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.7890e-01, 1.9000e+01
1, 1, 7.5000e+01, 5.2949e-01, 3.0000e+01
1, 1, 7.5000e+01, 2.3689e-01, 4.0000e+01
1, 1, 7.5000e+01, 4.1916e-03, 5.0000e+01
1, 1, 7.5000e+01, -1.8998e-01, 6.0000e+01
1, 1, 7.5000e+01, -3.5716e-01, 7.0000e+01
1, 1, 7.5000e+01, -5.0432e-01, 8.0000e+01
1, 1, 7.5000e+01, -6.3600e-01, 9.0000e+01
1, 1, 7.5000e+01, -7.5522e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.7667e+00, 1.0000e-02
1, 1, 7.5000e+01, 8.1094e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.4254e+00, 2.7000e-02
1, 1, 7.5000e+01, 6.8012e+00, 4.5000e-02
1, 1, 7.5000e+01, 6.1859e+00, 7.7000e-02
1, 1, 7.5000e+01, 5.6213e+00, 1.3000e-01
1, 1, 7.5000e+01, 5.1303e+00, 2.1000e-01
1, 1, 7.5000e+01, 4.6299e+00, 3.5000e-01
1, 1, 7.5000e+01, 4.1221e+00, 6.0000e-01
1, 1, 7.5000e+01, 3.7013e+00, 9.5000e-01
1, 1, 7.5000e+01, 3.1785e+00, 1.7000e+00
1, 1, 7.5000e+01, 2.6728e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.1984e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7566e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.4154e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.7890e-01, 1.9000e+01
1, 1, 7.5000e+01, 5.2949e-01, 3.0000e+01
1, 1, 7.5000e+01, 2.3689e-01, 4.0000e+01
1, 1, 7.5000e+01, 4.1916e-03, 5.0000e+01
1, 1, 7.5000e+01, -1.8998e-01, 6.0000e+01
1, 1, 7.5000e+01, -3.5716e-01, 7.0000e+01
1, 1, 7.5000e+01, -5.0432e-01, 8.0000e+01
1, 1, 7.5000e+01, -6.3600e-01, 9.0000e+01
1, 1, 7.5000e+01, -7.5522e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.7667e+00, 1.0000e-02
1, 1, 7.5000e+01, 8.1094e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.4254e+00, 2.7000e-02
1, 1, 7.5000e+01, 6.8012e+00, 4.5000e-02
1, 1, 7.5000e+01, 6.1859e+00, 7.7000e-02
1, 1, 7.5000e+01, 5.6213e+00, 1.3000e-01
1, 1, 7.5000e+01, 5.1303e+00, 2.1000e-01
1, 1, 7.5000e+01, 4.6299e+00, 3.5000e-01
1, 1, 7.5000e+01, 4.1221e+00, 6.0000e-01
1, 1, 7.5000e+01, 3.7013e+00, 9.5000e-01
1, 1, 7.5000e+01, 3.1785e+00, 1.7000e+00
1, 1, 7.5000e+01, 2.6728e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.1984e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7566e+00, 8.3000e+00
