# This file is generated on 12-Dec-2021 at 19:48:52 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.4460e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.3299e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.2093e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.1026e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.0035e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 8.9837e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 7.9301e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 6.8855e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 5.8817e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 5.0838e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 4.2223e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 3.4914e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.8140e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.2590e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.8896e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.4876e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 1.2103e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 1.1388e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 1.0874e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 1.0789e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 1.0822e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 1.0897e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 1.0988e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 1.1084e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 8.5495e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 7.7472e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 6.9259e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 6.2095e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 5.5540e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 4.9007e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 4.2798e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 3.6782e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 3.1126e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 2.6725e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 2.2037e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.8126e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.4573e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.1692e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 9.7876e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 7.7251e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 6.3059e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 5.9403e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 5.6781e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 5.6243e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 5.6239e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 5.6450e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 5.6769e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 5.7131e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 6.3526e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 5.7052e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 5.0478e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 4.4790e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 3.9627e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 3.4644e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 3.0041e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 2.5641e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 2.1558e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 1.8422e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 1.5109e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 1.2375e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 9.9218e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 7.9463e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 6.6458e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 5.2421e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 4.2775e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 4.0284e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 3.8500e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 3.8099e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, 3.8038e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 3.8120e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, 3.8281e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, 3.8479e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 5.1940e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 4.6348e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 4.0701e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 3.5841e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 3.1453e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 2.7306e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 2.3550e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.9994e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.6724e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.4237e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 1.1627e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 9.4891e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 7.5898e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 6.0682e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 5.0699e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.9953e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 3.2574e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.0662e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 2.9294e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 2.8968e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 2.8892e+00
