# This file is generated on 25-Nov-2021 at 16:51:56 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 9.2777e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 8.0944e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 6.8642e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 5.7747e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.7636e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.8947e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.1975e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.5685e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.0226e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.6387e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.2424e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 9.4178e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 7.1248e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 5.4314e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 4.3371e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 3.1463e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.2314e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.8694e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.0000e+01, 1.6161e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 1.5084e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.0000e+01, 1.4455e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 1.3980e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 1.3612e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.9990e+01, 1.3321e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 9.2211e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 8.0396e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 6.8113e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 5.7237e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 4.7143e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 3.8481e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 3.1543e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.5289e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.9868e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.6061e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.2142e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 9.1760e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 6.9241e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 5.2669e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 4.2001e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 3.0441e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 2.1575e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.0000e+01, 1.8051e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.0000e+01, 1.5591e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 1.4527e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.0000e+01, 1.3899e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 1.3423e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.0000e+01, 1.3053e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.9990e+01, 1.2760e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 9.2098e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 8.0258e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 6.7947e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 5.7045e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 4.6926e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 3.8252e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 3.1313e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.5064e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.9651e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.5856e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.1956e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 9.0102e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 6.7830e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 5.1491e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 4.1012e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 2.9699e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 2.1041e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.0000e+01, 1.7587e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.0000e+01, 1.5179e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 1.4119e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 7.0000e+01, 1.3480e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 1.2988e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.0000e+01, 1.2597e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.9990e+01, 1.2278e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 9.2187e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 8.0306e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 6.7952e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 5.7009e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 4.6851e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.8151e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 3.1198e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.4940e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.9522e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.5728e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 1.1835e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 8.8993e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 6.6869e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 5.0679e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 4.0326e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 2.9182e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 2.0665e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.0000e+01, 1.7254e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.0000e+01, 1.4881e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 1.3824e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.0000e+01, 1.3181e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 1.2687e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.0000e+01, 1.2293e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.9990e+01, 1.1973e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 9.2105e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 8.0212e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 6.7845e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 5.6890e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 4.6721e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 3.8015e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 3.1064e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.4810e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.9398e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.5611e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.1730e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 8.8063e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 6.6081e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 5.0024e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.9776e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.8770e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.0366e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.0000e+01, 1.6992e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.0000e+01, 1.4648e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 1.3594e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.0000e+01, 1.2950e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 1.2455e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.0000e+01, 1.2061e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.9990e+01, 1.1740e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 9.1346e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 7.9529e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 6.7245e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 5.6366e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 4.6270e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 3.7632e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 3.0738e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.4537e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.9174e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.5423e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.1581e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 8.6888e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 6.5162e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 4.9305e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 3.9193e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.8342e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.0059e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.0000e+01, 1.6731e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.0000e+01, 1.4420e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 1.3378e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.0000e+01, 1.2741e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 1.2251e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.0000e+01, 1.1861e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.9990e+01, 1.1543e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 8.9418e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 7.7826e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 6.5784e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 5.5129e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 4.5248e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 3.6797e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 3.0055e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.3993e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.8752e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.5087e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.1333e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 8.5074e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 6.3832e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 4.8320e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.8419e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.7785e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 1.9665e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.0000e+01, 1.6409e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.0000e+01, 1.4146e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 1.3131e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.0000e+01, 1.2513e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 1.2037e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.0000e+01, 1.1658e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.9990e+01, 1.1350e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 1.0000e-02, 9.1648e+01
