# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2221e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.1304e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0351e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 9.4808e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 8.6231e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 7.8360e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 7.1515e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 6.4541e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 5.7462e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 5.1596e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 4.4308e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 3.7258e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.0645e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.4486e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.9730e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.3646e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 7.3810e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 3.3023e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 5.8431e-03
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -2.6483e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, -4.9788e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -7.0302e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -8.8658e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, -1.0528e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 5.3438e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 4.9431e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 4.5262e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 4.1457e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 3.7706e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.4265e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.1272e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.8222e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 2.5127e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 2.2561e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.9375e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.6292e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.3400e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.0707e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 8.6275e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 5.9669e-01
