# This file is generated on 25-Nov-2021 at 16:57:15 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.7627e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.4380e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6420e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2443e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0076e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.5199e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.4285e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.6295e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0271e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.5637e-01
